ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
12.44.161.fed,2003-02-20,00:00:00,500.0,78003.0,0000078003-02-000069,q2-02.htm,200.0,392797.0,0.0,0.0,0.0,9.0,0.0,win
210.164.153.hgh,2003-02-20,00:00:06,500.0,95676.0,0000912057-96-012378,.txt,200.0,72875.0,0.0,0.0,0.0,4.0,0.0,win
67.112.196.ech,2003-02-20,00:00:07,500.0,1046327.0,0000891020-03-000066,-index.htm,200.0,2552.0,1.0,0.0,0.0,1.0,0.0,win
67.112.196.ech,2003-02-20,00:00:10,500.0,1046327.0,0000891020-03-000066,v86865exv5w1.txt,200.0,1945.0,0.0,0.0,0.0,9.0,0.0,win
61.115.76.jbf,2003-02-20,00:00:11,500.0,946855.0,0000930661-03-000710,.txt,200.0,129121.0,0.0,1.0,0.0,0.0,0.0,
216.190.168.jde,2003-02-20,00:00:12,500.0,49826.0,0000950137-02-001470,c67784ex99-b.htm,200.0,2177.0,0.0,0.0,0.0,9.0,0.0,win
61.115.76.jbf,2003-02-20,00:00:14,500.0,946855.0,0000930661-03-000732,.txt,200.0,129018.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:00:17,500.0,946855.0,0000930661-03-000733,.txt,200.0,128975.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:00:19,500.0,946855.0,0000930661-03-000734,.txt,200.0,128985.0,0.0,1.0,0.0,0.0,0.0,
66.91.156.fdf,2003-02-20,00:00:19,500.0,3453.0,0000764106-02-000005,a1201.txt,304.0,,0.0,0.0,0.0,9.0,0.0,mie
61.115.76.jbf,2003-02-20,00:00:23,500.0,946855.0,0000930661-03-000735,.txt,200.0,129030.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:00:24,500.0,316537.0,0000106926-03-000005,.txt,200.0,24770.0,0.0,1.0,0.0,0.0,0.0,
210.164.153.hgh,2003-02-20,00:00:28,500.0,95676.0,0000927016-96-001106,.txt,304.0,,0.0,0.0,0.0,4.0,0.0,win
61.115.76.jbf,2003-02-20,00:00:36,500.0,1190452.0,0001181431-03-002823,.txt,200.0,15908.0,0.0,1.0,0.0,0.0,0.0,
